name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'training-07';0.270000;2.642826e+01;4.850446e+00;-9.199421e+00;1.905214e+01;-7.093239e+01;1.713012e+01;2.768630e+01;-2.412092e+01;-3.844207e+01;-3.647637e+01;-1.147809e+01;-2.360166e+01;1.263325e+02;-1.116692e+00;-2.283220e+00;-1.609773e+00;1.406036e+00;1.069723e+01;6.249879e+00;-5.924991e+00;-4.742281e+00;-4.829495e+00;1.959754e+00;3.025355e-01;8.124605e+00;7.826767e-02;1.146950e-01;-8.564978e-01;8.258812e-01;1.391355e+00;2.501227e+00;-2.545997e+00;-2.263903e+00;-1.428890e+00;3.935459e+00;5.218906e+00;5.034277e-01;-2.401574e+00;-6.161731e-01
'training-07';0.280000;2.739761e+01;7.605240e-01;-6.714408e+00;2.360980e+01;-5.718967e+01;2.674930e+01;1.799011e+01;-3.379897e+01;-4.453873e+01;-2.902398e+01;-1.196212e+01;-1.426292e+01;1.240542e+02;-4.805574e-01;-4.359624e+00;-1.676418e+00;3.100720e+00;1.447344e+01;2.291165e+00;-8.104437e+00;-4.107974e+00;2.849894e+00;8.339430e+00;-6.955555e-01;1.709052e+00;-5.292282e-01;-2.746396e-01;-2.066031e-01;1.756358e+00;1.832580e+00;-6.924114e-02;-3.982650e+00;-1.032369e+00;-1.897614e-01;5.032185e+00;3.330797e+00;1.279668e-01;-3.706561e+00;-6.454142e-01
'training-07';0.290000;2.662071e+01;-6.654904e+00;-1.134544e+01;3.057708e+01;-4.075210e+01;2.003713e+01;1.089255e+01;-3.387117e+01;-3.839963e+01;-1.347329e+01;-1.195267e+01;-1.680092e+01;1.247243e+02;-1.664934e+00;-3.932787e+00;1.616742e+00;5.442363e+00;1.280055e+01;-3.765448e+00;-8.802277e+00;-4.946586e+00;9.798778e+00;1.127433e+01;1.313586e+00;-3.182930e+00;-9.769096e-01;-4.771177e-01;1.118303e+00;2.790865e+00;1.078796e+00;-2.488767e+00;-4.070227e+00;5.410928e-01;7.613683e-02;3.235244e+00;1.169007e-01;6.987953e-01;-1.926618e+00;-8.970305e-01
'training-07';0.300000;2.528079e+01;-1.360084e+01;-1.135094e+01;3.097701e+01;-1.964866e+01;1.574146e+01;-2.599102e+00;-3.680544e+01;-1.607198e+01;2.750946e+00;-1.465540e+01;-2.799615e+01;1.241394e+02;-2.312054e+00;-1.599684e+00;6.093722e+00;6.187619e+00;6.337393e+00;-7.741727e+00;-7.567628e+00;-3.682336e+00;1.133349e+01;7.519556e+00;1.476159e+00;-3.621363e+00;-2.135712e+00;-6.659664e-01;2.339038e+00;2.394314e+00;1.346202e-01;-3.985593e+00;-2.904365e+00;2.945731e+00;5.464690e-01;-7.968359e-01;-2.633441e+00;6.277471e-01;9.279892e-01;-9.231990e-01
'training-07';0.310000;1.916199e+01;-7.632812e+00;1.202556e+00;4.258034e+01;-2.570015e+01;3.806794e+00;-6.030478e+00;-4.735061e+01;-3.681553e+00;4.007822e+00;-3.563517e+00;-3.264969e+01;1.214054e+02;-2.586532e+00;1.928323e+00;8.459482e+00;5.256567e+00;2.321422e+00;-9.084809e+00;-3.487932e+00;-4.574416e+00;7.104924e+00;2.954195e+00;2.710654e+00;1.156723e+00;-3.603643e+00;-2.999528e-01;1.737476e+00;-1.045760e-01;-1.344632e+00;-2.701972e+00;-6.597356e-01;4.576718e+00;1.700235e+00;-3.452829e+00;-3.526542e+00;-8.822190e-01;2.235667e+00;-3.565004e-01
'training-07';0.320000;1.956670e+01;-6.748940e+00;1.748021e+01;4.854626e+01;-3.302868e+01;-3.844168e+00;-1.138652e+01;-4.547093e+01;-5.230319e+00;-1.667573e-01;-8.775901e+00;-2.444534e+01;1.150351e+02;-3.349590e+00;4.405013e+00;6.873782e+00;3.866719e+00;-2.149561e-01;-9.570979e+00;3.967046e+00;-1.561714e+00;2.126408e-01;-6.677079e-01;1.744646e+00;4.179171e+00;-3.831856e+00;1.192908e-01;-2.125414e-01;-3.400879e+00;-2.044321e+00;-1.769586e-02;1.560062e+00;4.583186e+00;2.250638e+00;-2.999522e+00;-2.818603e+00;-2.229244e+00;9.048887e-01;8.400047e-01
'training-07';0.330000;1.654510e+01;-4.392353e-01;1.653640e+01;4.807529e+01;-2.245498e+01;-1.559410e+01;-2.153402e+00;-5.241051e+01;-8.295841e+00;2.756534e+00;-1.339148e+00;-1.279270e+01;1.112582e+02;-2.645930e+00;1.752244e+00;7.038323e-01;-1.203468e-01;2.566862e+00;-6.149500e+00;8.313978e+00;2.494277e+00;-1.904942e+00;-2.264749e+00;-3.231751e+00;4.095138e+00;-1.911340e+00;8.669092e-01;-2.287519e+00;-4.867643e+00;-1.986736e+00;8.749470e-01;3.442495e+00;2.353216e+00;2.413207e+00;-7.345107e-01;-1.466070e+00;-2.938278e+00;-1.556001e+00;1.780278e+00
'training-07';0.340000;9.841287e+00;4.827439e+00;1.535105e+01;4.756314e+01;-2.234602e+01;-2.241298e+01;1.529759e+01;-4.208406e+01;-1.270163e+01;3.805045e-02;-7.044353e+00;-1.702879e+01;1.100537e+02;-1.685901e+00;-2.574351e+00;-7.032848e+00;-1.345526e+00;6.126194e+00;-1.409071e+00;9.447348e+00;4.036504e+00;8.408147e-01;-3.963989e+00;-6.698859e+00;-5.661269e-01;1.218159e+00;1.542698e+00;-2.815701e+00;-3.880624e+00;-1.749131e+00;6.407429e-01;4.481297e+00;-5.827361e-01;1.076397e+00;1.193061e+00;2.355029e-01;-1.615816e+00;-2.261566e+00;1.667074e+00
'training-07';0.350000;1.079505e+01;-4.659781e+00;5.786296e+00;4.247017e+01;-1.820717e+01;-1.765630e+01;2.219736e+01;-3.657266e+01;-9.470609e+00;-7.418325e+00;-2.058805e+01;-1.588228e+01;1.143394e+02;9.161687e-01;-6.019592e+00;-8.925418e+00;-2.070991e+00;3.525582e+00;4.046714e+00;5.537997e+00;4.692510e+00;3.118284e+00;-2.728016e+00;-7.758983e+00;-4.250632e+00;2.772739e+00;1.505893e+00;-1.093752e+00;-1.023953e+00;-1.196621e+00;-5.103859e-01;3.223416e+00;-1.894469e+00;-2.165346e-01;7.892984e-01;1.631485e+00;1.214348e+00;-1.276691e+00;4.126841e-01
'training-07';0.360000;1.401222e+01;-1.751042e+01;-1.230898e+01;4.462119e+01;-4.521613e+00;-9.858424e+00;2.367484e+01;-3.320734e+01;-4.388621e-01;-1.489927e+01;-3.264575e+01;-2.573119e+01;1.195853e+02;2.582848e+00;-5.787573e+00;-7.714715e+00;-3.903615e+00;2.509399e+00;7.737401e+00;2.441356e+00;2.721153e+00;3.666331e+00;7.414407e-01;-4.070821e+00;-2.955773e+00;2.161475e+00;1.103474e+00;1.065397e+00;1.700449e+00;-9.183871e-01;-9.721292e-01;7.274202e-01;-2.000687e+00;-5.536572e-01;-1.401463e+00;2.145870e+00;3.492704e+00;9.497404e-01;-1.158407e+00
