name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-15';0.000000;0;0;0;0;0;0;0;0;0;0;3.803738e-02;3.472806e-01;3.315033e-02;3.381081e-02;3.575855e-02;2.608214e-03;2.474273e-03;0;0;0;3.231259e-03;3.176855e-01;1.828929e+01;2.727670e-01;-3.879328e+00;-9.068779e-01;-3.602183e+00;-1.591781e+00;3.157624e+00;2.203254e+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.075970e+00;1.405800e+01;8.218362e-02;-4.741800e-03;3.373801e-03;0;0;0;0;2.400000e-01;0;-7.244668e+01
'training-15';0.100000;0;0;0;0;0;0;0;0;0;0;1.965654e-01;1.138123e+00;3.345674e-02;4.461824e-02;4.040293e-01;3.705726e-01;2.659586e-02;0;0;0;2.368298e-02;1.334020e+00;-4.953303e-01;-4.298300e+01;4.278067e+00;2.837856e+00;-1.973197e+01;-9.825672e-01;1.121668e+01;9.239083e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.323273e+00;4.159020e+00;9.074821e-02;-1.637520e-04;2.368297e-02;0;0;0;0;2.400000e-01;0;-3.933006e+01
'training-15';0.200000;2.813369e+01;7.016914e-03;2.797234e+01;2.814645e+01;2.831268e+01;3.403473e-01;0;0;-1.101459e-01;0;5.336615e-01;6.516187e-01;1.392145e-01;6.119406e-01;8.100451e-01;6.708305e-01;1.084026e+01;4.279686e+00;8.266151e+00;0;2.315648e-01;1.704947e+00;-9.360134e+00;-2.101676e+00;8.211199e+00;1.236430e+00;-2.816404e+01;-8.488559e-01;1.289429e+01;7.651421e-01;0;0;0;0;5.036614e+00;4.146190e-01;4.525981e+00;5.529080e-01;2.099910e+01;2.836026e-02;3.501110e+02;7.757602e-02;1.002703e+03;1.064487e-01;-1.595837e+02;-4.911521e-01;1.504402e+03;3.907939e-02;4.302748e+02;2.874397e-01;-1.658772e+02;-3.998448e-01;2.429552e+03;2.011501e-02;6.536183e+02;8.286035e-02;-1.631507e+02;-4.384993e-01;-8.332937e+00;-8.471372e-01;1.198452e+01;6.541476e-01;9.811343e-02;2.554108e-01;-2.319045e-02;-2.274102e-01;8.722876e-01;5.701240e-01;1.219076e+01;1.293113e+00;8.852497e+00;3.969912e-01;6.558373e+00;2.881134e+00;6.737603e+00;1.480837e+00;6.054093e+00;-2.071369e+00;1.007678e-01;3.328946e-04;7.164059e-02;4;4;4.000000e-02;0;1.900000e-01;0;-3.144083e+01
'training-15';0.300000;2.628418e+01;6.405953e-02;2.463253e+01;2.638599e+01;2.803460e+01;3.402067e+00;0;0;-3.492727e-01;0;1.108910e+00;4.034830e-01;6.979778e-01;9.444517e-01;1.648288e+00;9.503098e-01;7.764519e+00;2.294049e+00;-6.813020e+00;1.066258e+01;7.122440e-01;7.881154e-01;6.917850e+00;3.986448e+00;3.031479e+00;2.722378e+00;-8.170073e+00;-4.145488e+00;1.123635e+01;6.891755e-01;2.972287e-02;8.050287e-01;6.762170e-01;4.151810e-01;3.520829e+00;6.320102e-01;5.024122e+00;7.571157e-01;1.811852e+01;1.536136e-01;3.795083e+02;6.967585e-02;1.064526e+03;7.377017e-02;-7.519106e+01;-1.319105e+00;1.519547e+03;3.122808e-02;5.791152e+02;2.442149e-01;-9.013574e+01;-9.731886e-01;2.452483e+03;1.704052e-02;6.813740e+02;7.509740e-02;-8.568767e+01;-1.060529e+00;-1.139295e+01;-4.253208e-01;1.517877e+01;3.499150e-01;1.021091e-01;1.547319e-01;-2.823589e-02;-1.822330e-01;1.102694e+00;3.416769e-01;2.740724e+01;5.209436e-01;1.137388e+00;6.122893e+00;1.777583e+01;8.177457e-01;1.165758e+01;6.214318e-01;8.701260e+00;-4.104219e+00;1.082807e-01;-5.236859e-04;1.270821e-01;8;4;1.400000e-01;0;9.000000e-02;0;-2.387968e+01
'training-15';0.400000;2.557758e+01;8.585877e-02;2.421712e+01;2.572081e+01;2.790373e+01;3.686607e+00;9.108401e+01;0;4.807123e+01;0;9.614413e-01;6.271673e-01;2.603020e-01;8.972373e-01;1.648288e+00;1.387986e+00;1.059216e+01;1.783124e+00;1.666321e+01;0;7.948155e-01;6.508103e-01;3.066267e+01;4.083971e-01;-3.869614e+00;-2.235607e+00;1.084221e+01;1.631184e+00;1.386206e+01;4.942222e-01;5.749380e-02;1.035002e+00;1.552201e+00;6.760815e-01;7.692725e-01;5.324497e+00;3.001700e+00;1.733459e+00;1.448804e+01;4.592680e-01;4.528467e+02;3.344670e-01;1.232174e+03;2.050285e-01;-2.615168e+00;-9.939807e+00;1.531311e+03;4.967549e-02;7.585950e+02;3.545516e-01;-2.019630e+01;-1.268747e+00;2.461778e+03;2.019322e-02;7.497119e+02;1.842149e-01;-1.667184e+01;-1.490341e+00;-1.056512e+01;-4.525290e-01;1.577364e+01;3.170288e-01;9.225193e-02;2.514352e-01;-2.273924e-02;-3.948040e-01;8.306636e-01;6.081461e-01;3.035771e+01;4.035158e-01;-3.540396e+00;-2.511002e+00;1.117488e+01;1.557704e+00;1.394807e+01;5.078511e-01;-1.358369e+01;1.756137e+01;9.375373e-02;-2.093246e-02;7.696553e-02;4;4;2.400000e-01;0;0;0;-2.402595e+01
'training-15';0.500000;2.464414e+01;7.878008e-02;2.340229e+01;2.453891e+01;2.602583e+01;2.623545e+00;9.108401e+01;0;7.520494e+00;5.028708e+01;5.267392e-01;1.032062e+00;1.615145e-01;2.345443e-01;8.475282e-01;6.860138e-01;5.986961e+00;5.039488e+00;1.493050e+01;2.159614e-01;4.019565e-01;1.096424e+00;3.374399e+01;1.358827e-01;-1.020445e+01;-4.883477e-01;8.150237e+00;1.836735e+00;2.136387e+01;3.302678e-01;9.952567e-02;6.224009e-01;3.202460e+00;6.079589e-01;-6.774520e-01;-5.226374e+00;4.129925e+00;1.610994e+00;8.187044e+00;8.894882e-01;5.639402e+02;4.397731e-01;1.401053e+03;1.524681e-01;-2.614764e+01;-1.965402e+00;1.552231e+03;9.674770e-02;9.321030e+02;1.963389e-01;-3.293954e+01;-1.499790e+00;2.470502e+03;4.114280e-02;8.869344e+02;3.223979e-01;-3.161277e+01;-1.525351e+00;-8.774570e+00;-4.788547e-01;1.452456e+01;3.551022e-01;6.823687e-02;6.108611e-01;-1.750798e-02;-4.606059e-01;4.548332e-01;9.981734e-01;3.397918e+01;1.270563e-01;-1.056083e+01;-4.933426e-01;7.014377e+00;2.215130e+00;2.064312e+01;3.051731e-01;-8.950881e+00;1.287022e+01;2.707847e-02;-1.712121e-02;5.795487e-02;4;4;2.200000e-01;0;0;0;-2.871418e+01
'training-15';0.600000;2.553715e+01;6.766572e-02;2.395010e+01;2.476096e+01;2.728503e+01;3.334934e+00;9.794636e+01;0;-6.359618e+01;0;1.715370e-01;7.448436e-01;5.772199e-02;1.265943e-01;2.319891e-01;1.742672e-01;4.896112e+00;3.479851e+00;2.696298e+00;0;8.110356e-02;1.326882e+00;2.731434e+01;1.599548e-01;-1.068827e+01;-4.381878e-01;6.706125e-01;2.130210e+01;1.692822e+01;6.172780e-01;1.034670e-01;5.187974e-01;4.450894e+00;3.324339e-01;-9.569291e-01;-4.208159e+00;1.985951e+00;3.772178e+00;2.635627e+00;6.542107e-01;6.782522e+02;3.959493e-01;1.527118e+03;1.072771e-01;-1.018372e+02;-9.132257e-01;1.599082e+03;1.125580e-01;1.014736e+03;1.722103e-01;-1.025866e+02;-9.014394e-01;2.497316e+03;4.977945e-02;1.012645e+03;3.083170e-01;-1.008020e+02;-9.250600e-01;-6.311963e+00;-5.907704e-01;1.202125e+01;4.194259e-01;5.799592e-02;8.197839e-01;-1.246618e-02;-3.441639e-01;1.392010e-01;8.797473e-01;3.081520e+01;6.417549e-02;-1.321715e+01;-3.981518e-01;8.392894e-01;2.092651e+01;2.225713e+01;3.056654e-01;-5.209289e+00;1.268368e+01;5.905171e-02;-3.803715e-03;1.837929e-02;4;4;1.200000e-01;0;1.100000e-01;0;-4.775460e+01
