name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-22';0.000000;2.647883e+01;2.361428e-03;2.642639e+01;2.647141e+01;2.651378e+01;8.739281e-02;5.695772e+00;8.335972e-01;3.725052e+00;0;5.622327e-02;1.299765e+00;2.834320e-02;2.929615e-02;3.300265e-02;4.659444e-03;1.205269e-02;0;0;0;4.922291e-02;2.344951e+00;2.261733e+01;3.015375e-01;2.574172e+00;3.629293e+00;3.978704e+00;3.099631e+00;8.020790e+00;8.605422e-01;4.702633e-02;2.332274e-01;2.988815e+00;5.509067e-01;4.359324e+00;7.734011e-01;1.830710e+01;4.441814e-02;4.624706e+01;1.199990e-01;5.014183e+02;2.497322e-01;1.425252e+03;9.556779e-02;-1.631206e+02;-4.528834e-01;1.623310e+03;1.439461e-01;1.407392e+03;1.986241e-01;-1.616344e+02;-4.133320e-01;2.623184e+03;9.896363e-02;1.091802e+03;1.733847e-01;-1.627099e+02;-3.971394e-01;-2.309513e+01;-4.056489e-01;3.022580e+01;2.611678e-01;3.459831e-02;4.792970e-01;-1.392796e-02;-4.708599e-01;1.971011e-01;8.296094e-01;3.191267e+01;2.615963e-01;1.620552e+01;5.930046e-01;2.182505e+01;6.183245e-01;1.626052e+01;5.097603e-01;-6.394220e+00;1.728268e+01;6.455716e-02;3.640419e-03;2.682267e-03;0;4;5.000000e-02;0;1.800000e-01;0;-4.288596e+01
'training-22';0.100000;2.653943e+01;2.574665e-03;2.649004e+01;2.655869e+01;2.660014e+01;1.100998e-01;4.364406e+00;9.845821e-01;2.741718e+00;2.638144e+00;3.163845e-01;1.091142e+00;2.963950e-02;1.470779e-01;6.778816e-01;6.482421e-01;4.530584e+00;0;8.681297e-01;0;2.144832e-01;1.040590e+00;3.501582e+01;4.317498e-01;3.929951e+00;2.821417e+00;1.232981e+01;1.504179e+00;1.913311e+01;7.866439e-01;2.861925e-02;4.814063e-01;1.687108e+00;8.751762e-01;6.134492e+00;4.261548e-01;1.492160e+01;2.073824e-01;3.804511e+01;2.403016e-01;5.297686e+02;2.938571e-01;1.458658e+03;2.659090e-01;-8.988671e+01;-1.029968e+00;1.587315e+03;1.330181e-01;1.167272e+03;2.543233e-01;-8.890063e+01;-9.193385e-01;2.526163e+03;9.949286e-02;9.401169e+02;1.898152e-01;-9.269764e+01;-8.483677e-01;-2.142366e+01;-3.445619e-01;2.985005e+01;1.863098e-01;3.948785e-02;2.790968e-01;-1.448815e-02;-5.702595e-01;3.337045e-01;5.868467e-01;4.400560e+01;2.593414e-01;8.306604e+00;1.398217e+00;2.050851e+01;9.084569e-01;2.754447e+01;4.446019e-01;-4.738623e+00;1.510579e+01;7.233835e-02;3.104195e-03;2.547373e-03;4;4;1.500000e-01;0;8.000000e-02;0;-3.062117e+01
'training-22';0.200000;2.625880e+01;1.739289e-02;2.586077e+01;2.649004e+01;2.658171e+01;7.209435e-01;0;0;-5.257355e-02;0;8.833737e-01;6.075575e-01;3.664671e-01;8.976132e-01;1.447235e+00;1.080768e+00;8.581628e+00;0;4.774460e+00;0;4.596381e-01;4.321657e-01;4.704516e+01;1.943826e-01;4.221100e-01;3.350112e+01;1.139349e+01;1.748441e+00;2.589364e+01;3.735847e-01;2.085831e-02;6.922930e-01;1.320211e+00;9.784893e-01;6.047314e+00;3.816180e-01;1.508737e+01;1.702186e-01;3.234774e+01;3.211925e-01;5.892244e+02;3.237062e-01;1.578516e+03;2.628049e-01;-8.760030e+00;-7.767218e-01;1.534203e+03;1.196381e-01;1.257043e+03;2.507465e-01;-1.830455e+01;-6.050575e-01;2.473634e+03;8.522324e-02;9.386317e+02;2.502908e-01;-2.455599e+01;-4.656642e-01;-1.777242e+01;-4.454175e-01;2.790749e+01;2.161956e-01;4.366045e-02;2.567122e-01;-1.562829e-02;-5.110070e-01;4.596381e-01;4.321657e-01;4.704515e+01;1.943826e-01;4.221100e-01;3.350112e+01;1.139349e+01;1.748441e+00;2.589364e+01;3.735847e-01;0;0;0;0;0;4;4;2.400000e-01;0;0;0;-2.519606e+01
'training-22';0.300000;2.514209e+01;5.156529e-02;2.389918e+01;2.543969e+01;2.648367e+01;2.584492e+00;0;0;-1.514742e-01;0;1.239049e+00;2.313427e-01;8.992400e-01;1.255392e+00;1.546727e+00;6.474875e-01;6.213676e+00;0;-7.642472e+00;0;6.308404e-01;2.161305e-01;4.713465e+01;1.544835e-01;-1.227386e+01;-4.445245e-01;3.453055e+00;2.855856e+00;2.233216e+01;2.549997e-01;2.951053e-02;8.192169e-01;1.040850e+00;7.333317e-01;4.299547e+00;6.825150e-01;1.506019e+01;1.160341e-01;2.406192e+01;3.647254e-01;5.906460e+02;3.186336e-01;1.673719e+03;2.118559e-01;-3.134030e+00;-1.415177e+00;1.466198e+03;8.729331e-02;1.179755e+03;2.202788e-01;-1.085665e+01;-4.596010e-01;2.429852e+03;6.067150e-02;8.250125e+02;2.644528e-01;-1.599699e+01;-5.184675e-01;-1.058183e+01;-3.448031e-01;2.079408e+01;3.465669e-01;5.215019e-02;1.875946e-01;-1.709569e-02;-4.494974e-01;6.308403e-01;2.161305e-01;4.713465e+01;1.544835e-01;-1.227386e+01;-4.445245e-01;3.453055e+00;2.855856e+00;2.233216e+01;2.549997e-01;0;0;0;0;0;4;4;2.400000e-01;0;0;0;-2.457692e+01
'training-22';0.400000;2.390158e+01;4.427024e-02;2.277274e+01;2.397797e+01;2.495564e+01;2.182896e+00;2.879848e+01;0;1.962561e+01;0;9.985650e-01;4.781560e-01;5.784364e-01;8.996466e-01;1.546727e+00;9.682910e-01;-5.570745e+00;0;5.127968e+00;0;4.962447e-01;5.247699e-01;4.115541e+01;6.239159e-02;-1.570186e+01;-1.577900e-01;1.265826e+01;4.870901e-01;2.592994e+01;3.286139e-01;3.083054e-02;7.927244e-01;1.493817e+00;6.426337e-01;1.136045e+00;1.633367e+00;1.233039e+01;3.810252e-01;1.621935e+01;2.282164e-01;4.564487e+02;1.710882e-01;1.463098e+03;9.207772e-02;-6.558799e+00;-2.062889e+00;1.465347e+03;3.672951e-02;9.836801e+02;1.226360e-01;-1.290942e+01;-1.065156e+00;2.397221e+03;1.775220e-02;8.089735e+02;2.729683e-01;-1.480303e+01;-9.118425e-01;-6.799625e+00;-3.030248e-01;1.435065e+01;2.454603e-01;4.815623e-02;2.466890e-01;-1.948168e-02;-2.360430e-01;4.954970e-01;5.278494e-01;4.116592e+01;6.244550e-02;-1.575678e+01;-1.459581e-01;1.264723e+01;4.870919e-01;2.614283e+01;3.353758e-01;0;0;0;0;0;0;4;2.400000e-01;0;0;0;-2.782642e+01
'training-22';0.500000;2.320585e+01;2.865759e-02;2.256569e+01;2.292244e+01;2.387498e+01;1.309288e+00;2.879848e+01;0;1.679456e+01;0;4.274300e-01;8.053890e-01;6.661211e-02;3.084100e-01;7.784663e-01;7.118542e-01;-3.589761e+00;0;7.290118e+00;0;2.120188e-01;9.413713e-01;3.455937e+01;2.629848e-01;-1.051437e+01;-5.719695e-01;1.041063e+01;6.830414e-01;2.443264e+01;4.627939e-01;2.712227e-02;8.212251e-01;2.180835e+00;2.642703e-01;4.283333e-01;4.233295e+00;1.004356e+01;4.748594e-01;1.412574e+01;2.250089e-01;4.779955e+02;1.847536e-01;1.471469e+03;9.879247e-02;-8.416197e+01;-1.090041e+00;1.488304e+03;3.489287e-02;9.195313e+02;8.027484e-02;-8.640430e+01;-1.045051e+00;2.408789e+03;1.960546e-02;6.811333e+02;6.493559e-02;-8.830733e+01;-1.005220e+00;-5.846032e+00;-3.603050e-01;1.302036e+01;2.269193e-01;4.747442e-02;2.888259e-01;-1.899893e-02;-1.732844e-01;3.232731e-01;5.659161e-01;4.103716e+01;4.831899e-02;-1.502514e+01;-1.765328e-01;1.468534e+01;3.003984e-01;3.186282e+01;2.022991e-01;-7.744049e+00;1.436403e+01;5.221591e-02;-9.102040e-03;4.636559e-02;0;4;1.400000e-01;0;9.000000e-02;0;-3.625567e+01
