name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-50';0.000000;2.644943e+01;1.005661e-02;2.619217e+01;2.643713e+01;2.662535e+01;4.331856e-01;2.081928e+01;0;1.690553e+01;0;8.125416e-02;1.043474e+00;3.738283e-02;3.844782e-02;1.008104e-01;6.342758e-02;1.072510e-02;0;0;0;5.364310e-02;1.699065e+00;2.573669e+01;3.686543e-01;-3.879353e+00;-4.091592e+00;1.937144e+00;9.549508e+00;9.130019e+00;1.081666e+00;5.231934e-02;5.439625e-02;2.043575e+00;4.146264e-01;4.827122e+00;2.011592e-01;1.319044e+01;6.109761e-02;4.194130e+01;1.207701e-01;5.515629e+02;1.853117e-01;1.384576e+03;2.590244e-02;-1.435608e+02;-5.574810e-01;1.734665e+03;1.414506e-01;1.225302e+03;3.179536e-01;-1.477160e+02;-5.048525e-01;2.575913e+03;6.837745e-02;1.363134e+03;2.507104e-01;-1.499307e+02;-4.753019e-01;-2.378085e+01;-4.306065e-01;2.738800e+01;3.346612e-01;4.978357e-02;2.724479e-01;-1.806410e-02;-5.923477e-01;1.610869e-01;5.883371e-01;3.777319e+01;2.130526e-01;1.563110e+01;9.117454e-01;2.452966e+01;7.189104e-01;2.204809e+01;3.236160e-01;-2.568396e+00;1.171953e+01;8.416719e-02;1.711134e-03;3.290853e-03;0;4;7.000000e-02;0;1.600000e-01;0;-4.210382e+01
'training-50';0.100000;2.718832e+01;2.647674e-02;2.641929e+01;2.737723e+01;2.789809e+01;1.478800e+00;2.596512e+01;0;1.377170e+00;1.098021e+01;5.047512e-01;1.194534e+00;3.871858e-02;2.623180e-01;1.214205e+00;1.175486e+00;1.883346e+00;0;1.329081e+01;0;3.890779e-01;1.269646e+00;3.653912e+01;3.575456e-01;1.907450e+00;8.652160e+00;9.589952e+00;2.111240e+00;1.725777e+01;6.419859e-01;2.949115e-02;6.139085e-01;1.627472e+00;5.145627e-01;5.999312e+00;3.989852e-01;1.782533e+01;3.072219e-01;4.156736e+01;1.531647e-01;6.628868e+02;3.149985e-01;1.366303e+03;7.295017e-02;-6.476693e+01;-1.262703e+00;1.786644e+03;1.327972e-01;1.166046e+03;2.392895e-01;-7.400051e+01;-1.035430e+00;2.703827e+03;9.191946e-02;1.251485e+03;2.358405e-01;-8.177975e+01;-8.723882e-01;-2.135849e+01;-3.701150e-01;2.775957e+01;2.265514e-01;4.376302e-02;3.207128e-01;-2.032540e-02;-5.345461e-01;5.391982e-01;9.428270e-01;4.351749e+01;1.831291e-01;9.220457e+00;1.486701e+00;1.707111e+01;1.125880e+00;2.270484e+01;3.515289e-01;-1.331962e-01;9.202064e+00;8.524385e-02;4.302540e-03;3.093195e-03;4;4;1.700000e-01;0;6.000000e-02;0;-2.404639e+01
'training-50';0.200000;2.687236e+01;3.468494e-02;2.612247e+01;2.694393e+01;2.776742e+01;1.644947e+00;2.596512e+01;0;-2.074742e+01;0;1.163694e+00;5.511290e-01;3.013228e-01;1.581566e+00;1.677941e+00;1.376619e+00;7.893546e+00;0;-9.626707e+00;0;7.050116e-01;5.768784e-01;4.815097e+01;9.392194e-02;1.442568e+00;1.129278e+01;1.003679e+01;1.979457e+00;1.983358e+01;4.081018e-01;2.068053e-02;8.459399e-01;1.203475e+00;7.676524e-01;6.148273e+00;3.805349e-01;1.755603e+01;2.718780e-01;3.452612e+01;2.881485e-01;6.187695e+02;3.106743e-01;1.495251e+03;1.542034e-01;-4.192058e+00;-2.656093e+00;1.675255e+03;1.603567e-01;1.142505e+03;1.896747e-01;-1.530938e+01;-7.099336e-01;2.608484e+03;9.550267e-02;1.063471e+03;3.547801e-01;-2.515349e+01;-4.676907e-01;-1.875225e+01;-4.051688e-01;2.793647e+01;1.719359e-01;5.183164e-02;2.905348e-01;-2.525209e-02;-3.682542e-01;7.050116e-01;5.768784e-01;4.815097e+01;9.392194e-02;1.442568e+00;1.129278e+01;1.003679e+01;1.979457e+00;1.983358e+01;4.081018e-01;0;0;0;0;0;4;4;2.400000e-01;0;0;0;-2.117473e+01
'training-50';0.300000;2.478949e+01;1.475438e-01;2.363287e+01;2.618886e+01;2.733929e+01;3.706425e+00;-1.790466e+02;0;2.847873e+01;0;1.372380e+00;2.892356e-01;9.588258e-01;1.581566e+00;1.677941e+00;7.191156e-01;2.920989e+00;0;-9.631876e+00;0;8.586531e-01;2.977696e-01;4.687086e+01;1.205076e-01;-1.083694e+01;-5.557935e-01;3.319182e+00;3.224447e+00;1.243771e+01;3.972846e-01;1.197607e-02;5.890098e-01;6.477908e-01;6.565903e-01;3.494786e+00;1.728808e+00;1.416946e+01;5.533729e-01;2.660389e+01;4.627617e-01;5.557636e+02;3.272839e-01;1.484494e+03;1.905925e-01;-3.090976e+01;-2.119556e+00;1.513000e+03;1.388696e-01;1.052434e+03;1.793288e-01;-3.932888e+01;-1.541399e+00;2.500197e+03;9.918547e-02;8.284053e+02;3.228669e-01;-4.598303e+01;-1.255571e+00;-1.300152e+01;-2.255989e-01;2.337253e+01;2.660754e-01;6.060705e-02;2.924544e-01;-2.845932e-02;-3.551645e-01;8.374317e-01;3.282009e-01;4.824454e+01;1.058434e-01;-1.041947e+01;-6.298902e-01;7.649464e-01;1.287100e+01;1.255444e+01;4.283844e-01;-1.031146e+01;1.536917e+01;8.613417e-02;-2.502222e-02;9.409326e-01;4;8;9.500000e-02;7.500000e-02;3.000000e-02;0;-2.105493e+01
'training-50';0.400000;2.075257e+01;2.339861e-01;1.472670e+01;2.360166e+01;2.523827e+01;1.051157e+01;4.965177e+01;0;1.129494e+02;0;8.305700e-01;6.750481e-01;2.383195e-01;7.193757e-01;1.401359e+00;1.163039e+00;0;0;-6.654608e-02;0;5.698828e-01;6.482204e-01;3.872188e+01;1.832947e-01;-1.547602e+01;-3.829105e-01;1.419114e+01;6.745425e-01;1.552954e+01;5.475438e-01;1.412255e-02;4.311255e-01;7.527187e-01;4.668812e-01;-2.274054e+00;-2.338907e+00;8.834697e+00;6.032338e-01;1.590089e+01;2.803889e-01;4.603484e+02;2.190813e-01;1.273246e+03;1.740467e-01;-8.997466e+01;-9.688898e-01;1.471131e+03;3.816924e-02;8.878308e+02;1.851852e-01;-9.706960e+01;-8.406966e-01;2.368718e+03;2.302171e-02;6.887299e+02;7.002864e-02;-9.666788e+01;-8.394989e-01;-1.059180e+01;-2.077858e-01;1.685226e+01;2.573027e-01;7.252079e-02;1.245409e-01;-2.980275e-02;-3.400789e-01;6.944742e-01;3.729685e-01;4.329902e+01;6.715281e-02;-1.402572e+01;-3.037145e-01;1.189471e+01;7.768077e-01;1.179926e+01;4.686256e-01;-3.452855e+00;1.046606e+01;7.058376e-02;-1.884817e-02;4.014016e-01;0;8;6.000000e-02;9.999999e-03;4.500000e-02;1.500000e-02;-2.689417e+01
'training-50';0.500000;1.533236e+01;1.017983e-01;1.394928e+01;1.471900e+01;1.680341e+01;2.854122e+00;4.965177e+01;0;1.424868e+02;0;2.855847e-01;8.989316e-01;6.470183e-02;1.743886e-01;5.051552e-01;4.404534e-01;0;0;-3.566934e-02;0;2.093377e-01;1.346896e+00;2.972742e+01;2.967809e-01;-1.536370e+01;-3.652726e-01;8.468585e+00;1.724534e+00;1.443025e+01;6.256191e-01;0;0;0;0;-7.837076e+00;-2.329115e-01;5.724848e+00;9.179604e-01;1.103617e+01;5.750056e-02;3.780541e+02;2.982367e-02;1.151916e+03;8.127502e-02;-1.567754e+02;-4.414480e-01;1.424418e+03;1.263041e-02;7.424005e+02;8.703678e-02;-1.596831e+02;-4.056204e-01;2.328383e+03;5.321986e-03;6.802772e+02;1.038082e-02;-1.584446e+02;-4.195568e-01;-8.724316e+00;-5.117473e-02;1.255986e+01;1.048478e-01;7.774398e-02;1.374473e-01;-2.251329e-02;-2.809691e-01;4.343675e-01;3.275588e-01;4.126657e+01;2.202917e-02;-1.428214e+01;-1.801092e-01;2.162212e+01;2.010217e-01;1.598735e+01;1.941312e-01;-2.430817e+00;9.873934e+00;6.835062e-02;-1.133929e-02;1.381760e-01;0;4;5.000000e-02;0;1.600000e-01;0;-3.895319e+01
