name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-27';0.000000;2.354514e+01;1.760164e-01;1.936320e+01;2.581084e+01;2.640294e+01;7.039749e+00;2.883775e+02;0;-3.785416e+01;0;2.131485e-01;1.620990e+00;2.511966e-02;3.095910e-02;3.218449e-01;2.967253e-01;4.504737e-02;0;0;0;2.942205e-01;1.782629e+00;2.778864e+01;6.239996e-01;6.846554e+00;1.658405e+00;-4.343643e+00;-1.067992e+00;-4.475195e+00;-2.398675e+00;0;0;1.158311e-01;0;-3.133949e+00;-3.128648e+00;8.356719e-02;1.185768e+01;5.408479e+01;1.049891e-01;6.511078e+02;1.975116e-01;1.320900e+03;1.270005e-01;-1.362838e+02;-6.652485e-01;1.687329e+03;1.361496e-01;1.002487e+03;1.241093e-01;-1.454123e+02;-5.372863e-01;2.953488e+03;1.118779e-01;1.052099e+03;3.010405e-01;-1.513001e+02;-4.589700e-01;-2.416454e+01;-4.872521e-01;3.382663e+01;3.519382e-01;8.548498e-02;1.344433e-01;-4.869355e-02;-5.636626e-01;7.324091e-01;8.279265e-01;4.498287e+01;3.560319e-01;1.690936e+01;7.071843e-01;-4.743648e+00;-1.247844e+00;-1.541565e+01;-5.642868e-01;-4.759087e+00;1.647481e+01;5.960129e-02;2.319144e-03;2.225697e-03;0;4;9.000000e-02;0;1.400000e-01;0;-2.987652e+01
'training-27';0.100000;2.426920e+01;1.250103e-01;2.437373e+01;2.515578e+01;2.589757e+01;1.523838e+00;2.883775e+02;0;-2.203916e+01;0;9.087992e-01;8.591964e-01;2.534905e-02;9.179782e-01;1.809824e+00;1.784475e+00;1.009062e+01;0;-9.546667e+00;0;7.058114e-01;7.869010e-01;4.109643e+01;4.082757e-01;4.023693e+00;3.618877e+00;-7.526452e+00;-8.561691e-01;-5.897734e+00;-1.873475e+00;1.073488e-02;7.295768e-01;3.832585e-01;3.692874e-01;1.034132e+00;7.859460e+00;7.223386e+00;2.233053e+00;3.683182e+01;4.530244e-01;5.597063e+02;2.849723e-01;1.303231e+03;1.022303e-01;-5.399268e+01;-1.628400e+00;1.519453e+03;1.773108e-01;9.839099e+02;1.072570e-01;-6.589128e+01;-1.247266e+00;2.686849e+03;1.548662e-01;8.440461e+02;3.634828e-01;-7.690209e+01;-9.858484e-01;-1.886184e+01;-6.096923e-01;2.763908e+01;4.086830e-01;8.546804e-02;1.608689e-01;-4.040361e-02;-6.098835e-01;8.818278e-01;5.446578e-01;4.737899e+01;2.619355e-01;4.691610e+00;3.446812e+00;-8.965110e+00;-7.061539e-01;-9.009344e+00;-1.135368e+00;-5.957639e+00;1.680611e+01;5.726166e-02;3.622395e-03;1.733293e-03;4;4;1.900000e-01;0;4.000000e-02;0;-2.358286e+01
'training-27';0.200000;2.451685e+01;8.712260e-02;2.434189e+01;2.488824e+01;2.575506e+01;1.413166e+00;-1.258861e+02;0;1.791299e+01;0;1.043686e+00;6.707142e-01;1.802278e-01;1.077250e+00;1.809824e+00;1.629596e+00;1.600797e+01;0;-1.385142e+01;0;8.219350e-01;5.936114e-01;4.640971e+01;1.873302e-01;1.391725e+00;9.612496e+00;-9.850361e+00;-6.906735e-01;-3.599448e+00;-2.562890e+00;1.088957e-02;6.276268e-01;6.595854e-01;8.302069e-01;2.236334e+00;2.236207e+00;2.515668e+01;1.726825e+00;3.017459e+01;5.046122e-01;5.544702e+02;3.188933e-01;1.274253e+03;5.961335e-02;-3.336692e+01;-1.992096e+00;1.503902e+03;1.828292e-01;9.695471e+02;9.350996e-02;-4.323817e+01;-1.442533e+00;2.630770e+03;1.557330e-01;7.245049e+02;2.806133e-01;-5.469420e+01;-1.055388e+00;-1.790765e+01;-5.932704e-01;2.648795e+01;3.382748e-01;8.380985e-02;2.011260e-01;-3.585555e-02;-6.719763e-01;9.756096e-01;4.058415e-01;4.736297e+01;1.950292e-01;2.582742e+00;5.552111e+00;-9.605879e+00;-7.441974e-01;-4.182382e+00;-2.379507e+00;-1.183265e+01;2.390577e+01;7.178384e-02;-2.129923e-02;6.617805e-02;4;4;1.800000e-01;0;3.000000e-02;0;-2.330259e+01
'training-27';0.300000;2.036263e+01;2.009103e-01;1.551183e+01;2.067370e+01;2.448150e+01;8.969671e+00;1.474142e+02;0;7.047065e+01;0;7.359726e-01;8.795248e-01;1.802278e-01;4.687683e-01;1.480826e+00;1.300598e+00;4.616101e+00;4.279768e+00;1.202488e+01;3.035757e+00;5.304089e-01;6.743577e-01;4.066751e+01;1.678412e-01;-5.848172e+00;-1.273634e+00;-1.091630e+01;-9.285554e-01;1.098751e+01;1.146391e+00;9.880547e-03;2.751325e-01;2.255298e+00;8.577836e-01;-2.758170e+00;-1.700341e+00;2.563021e+01;1.814906e+00;1.757076e+01;2.848691e-01;5.830757e+02;3.756595e-01;1.288136e+03;8.033468e-02;-5.001158e+01;-1.334149e+00;1.487573e+03;1.478721e-01;1.076336e+03;1.346810e-01;-5.580080e+01;-1.136852e+00;2.392619e+03;7.733447e-02;8.788674e+02;4.973823e-01;-6.133311e+01;-9.926314e-01;-1.025931e+01;-3.632812e-01;2.020608e+01;1.763963e-01;7.959699e-02;2.398906e-01;-9.966869e-03;-1.096830e+00;6.285547e-01;5.349814e-01;4.052702e+01;1.852486e-01;-6.036182e+00;-1.358663e+00;-1.087485e+01;-1.001768e+00;1.318305e+01;9.553165e-01;-1.183265e+01;2.390577e+01;7.178384e-02;-2.129923e-02;6.617805e-02;4;8;9.500000e-02;1.500000e-02;3.000000e-02;0;-2.765398e+01
'training-27';0.400000;1.988092e+01;2.151465e-01;1.529746e+01;1.832293e+01;2.497268e+01;9.675215e+00;1.246358e+02;0;4.362648e+01;2.101302e+01;2.976840e-01;6.318023e-01;1.176808e-01;2.403679e-01;4.670820e-01;3.494012e-01;2.034421e+00;3.104760e+00;5.836244e+00;0;2.665995e-01;9.274620e-01;4.144342e+01;2.114935e-01;-5.495101e+00;-1.024782e+00;-8.769006e+00;-1.311230e+00;1.844435e+01;7.515120e-01;4.523043e-01;4.815649e-01;3.368104e+00;4.122841e-01;-5.758296e+00;-5.099730e-01;-1.461182e-01;-5.115968e+01;1.740880e+01;3.388765e-01;6.771902e+02;3.499834e-01;1.377155e+03;1.131578e-01;-7.803072e+01;-9.734225e-01;1.560167e+03;1.341528e-01;1.169390e+03;1.404883e-01;-8.133764e+01;-9.040520e-01;2.449684e+03;1.041767e-01;1.025214e+03;4.116974e-01;-8.601517e+01;-8.226352e-01;-1.078270e+01;-3.404944e-01;2.094449e+01;1.505804e-01;7.520147e-02;3.164636e-01;-2.282913e-03;-3.447487e+00;3.420452e-01;7.391053e-01;4.268056e+01;2.109697e-01;-5.713467e+00;-1.170295e+00;-7.450933e+00;-1.766961e+00;2.457885e+01;4.674851e-01;-9.921938e+00;2.071686e+01;7.005017e-02;-1.746272e-02;7.213480e-02;4;4;1.700000e-01;0;2.500000e-02;4.999999e-03;-3.825989e+01
