name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-29';0.000000;0;0;0;0;0;0;0;0;0;0;9.191462e-02;1.135472e+00;3.465126e-02;3.554857e-02;1.483097e-01;1.136584e-01;1.524804e-02;0;0;0;7.722590e-03;1.535536e+00;8.713210e+00;2.022585e+00;-1.738249e+00;-7.184139e+00;-2.083431e+01;-7.556139e-01;1.437974e+01;6.472447e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.570244e-03;1.011180e+01;8.401585e-02;6.317379e-03;8.038758e-03;0;0;0;0;2.400000e-01;0;-4.661052e+01
'training-29';0.100000;2.776270e+01;8.913438e-03;2.757545e+01;2.785291e+01;2.798109e+01;4.056396e-01;0;0;-1.143306e-01;0;4.357989e-01;1.014309e+00;3.618554e-02;2.568209e-01;7.758805e-01;7.396950e-01;3.935196e+00;0;1.560880e+01;0;2.405858e-01;1.934178e+00;-6.831111e-01;-3.244360e+01;2.666706e+00;3.862342e+00;-2.394457e+01;-1.105725e+00;1.877067e+01;5.016244e-01;1.330492e-02;0;1.502004e+00;0;4.258081e+00;8.449461e-01;7.056900e+00;3.567748e-01;1.740589e+01;2.697935e-01;3.453044e+02;1.167764e-01;9.913964e+02;1.688855e-01;-1.583527e+02;-5.250071e-01;1.455599e+03;2.225368e-02;6.069752e+02;1.605682e-01;-1.585509e+02;-4.524162e-01;2.366587e+03;2.355930e-02;7.029481e+02;4.991899e-02;-1.546265e+02;-5.072934e-01;-3.634992e+00;-1.981410e+00;1.277318e+01;3.345817e-01;1.017001e-01;1.298648e-01;-7.615319e-03;-1.541931e+00;9.039559e-01;6.233382e-01;1.262718e+01;1.558499e+00;-4.303758e-01;-5.612732e+00;6.106173e-01;5.416509e+01;2.243817e+01;3.323855e-01;3.340601e+00;7.181688e+00;9.538935e-02;6.388607e-03;3.057006e-02;4;4;5.000000e-02;0;1.800000e-01;0;-3.006976e+01
'training-29';0.200000;2.421765e+01;1.533419e-01;2.015313e+01;2.544923e+01;2.777970e+01;7.626577e+00;2.011106e+02;0;8.234235e+01;0;7.858917e-01;5.047066e-01;4.759448e-01;7.043089e-01;1.144559e+00;6.686143e-01;9.846246e+00;0;-1.071008e+01;0;5.053214e-01;9.028304e-01;8.810856e+00;3.340694e+00;7.469035e+00;1.070114e+00;-1.616330e+00;-2.560553e+01;2.195857e+01;3.023240e-01;9.034455e-02;7.726990e-01;1.047854e+00;4.952045e-01;4.765452e+00;5.474154e-01;-1.248032e+01;-2.721430e+00;2.184633e+00;1.394897e+01;3.627244e+02;9.931786e-02;1.139417e+03;1.736212e-01;-7.222556e+01;-1.383064e+00;1.573512e+03;7.833418e-02;6.691788e+02;2.568325e-01;-8.306488e+01;-1.030923e+00;2.380857e+03;3.710065e-02;9.094230e+02;2.579035e-01;-7.470744e+01;-1.223064e+00;-1.555999e+01;-7.082033e-01;2.174433e+01;3.845388e-01;6.438680e-02;5.355442e-01;-2.040336e-02;-6.075253e-01;7.549679e-01;5.146030e-01;2.821917e+01;6.122100e-01;6.115459e+00;1.027553e+00;2.461715e+01;1.120739e+00;2.157012e+01;2.816278e-01;1.009157e+01;-1.236658e+00;1.084442e-01;9.521518e-03;6.038571e-02;4;4;1.500000e-01;0;8.000000e-02;0;-2.369448e+01
'training-29';0.300000;2.396815e+01;1.494854e-01;2.015313e+01;2.411602e+01;2.757545e+01;7.422329e+00;1.472276e+02;0;8.965706e+01;0;6.954880e-01;6.627231e-01;2.682666e-01;6.004334e-01;1.144559e+00;8.762925e-01;2.179873e+01;0;-7.281797e+00;0;6.031517e-01;6.264134e-01;3.404056e+01;3.210329e-01;8.279492e+00;5.883616e-01;2.934707e+01;6.012318e-01;2.465123e+01;2.443855e-01;8.443882e-02;8.248354e-01;1.081170e+00;4.707403e-01;5.053525e+00;4.147216e-01;-1.142974e+01;-3.038585e+00;3.120975e+00;9.925798e+00;3.687599e+02;7.584197e-02;1.171934e+03;1.415924e-01;-6.954238e+01;-1.369518e+00;1.583781e+03;7.379872e-02;6.865290e+02;2.744207e-01;-8.298250e+01;-1.031750e+00;2.381671e+03;3.673388e-02;9.210988e+02;2.507787e-01;-7.485314e+01;-1.221009e+00;-1.772395e+01;-5.455304e-01;2.338357e+01;3.261244e-01;5.748306e-02;5.612247e-01;-2.258866e-02;-4.421896e-01;7.713640e-01;4.783011e-01;3.203552e+01;4.047953e-01;7.217722e+00;7.963817e-01;2.976065e+01;6.921910e-01;2.297153e+01;2.515113e-01;-2.214888e+01;2.766424e+01;4.527843e-02;-1.288604e-02;3.051175e-01;4;4;1.500000e-01;0;8.000000e-02;0;-2.368964e+01
'training-29';0.400000;1.977057e+01;1.923284e-01;1.741224e+01;1.977400e+01;2.403435e+01;6.622114e+00;2.638139e+02;8.474306e+01;5.760923e+02;0;3.754864e-01;4.759468e-01;1.916841e-01;3.945344e-01;4.948513e-01;3.031672e-01;7.059066e+00;5.120046e+00;5.439895e+00;5.718889e-01;3.840445e-01;4.408739e-01;4.290422e+01;1.763961e-01;6.769658e+00;9.189945e-01;1.327290e+01;1.865751e+00;1.646960e+01;8.585152e-01;9.924196e-02;7.774622e-01;1.603595e+00;1.757375e-01;3.118597e-01;1.399690e+01;-3.921877e+00;-5.696207e+00;1.585826e+01;7.392697e-01;3.679216e+02;1.034689e-01;1.414686e+03;8.202832e-02;-1.345587e+02;-6.615713e-01;1.474080e+03;1.995712e-01;9.503231e+02;1.365695e-01;-1.383506e+02;-6.050752e-01;2.302705e+03;7.766060e-02;9.160770e+02;3.391744e-01;-1.376579e+02;-6.180823e-01;-2.163379e+01;-3.227055e-01;2.803248e+01;1.572245e-01;3.772170e-02;5.112785e-01;-2.920938e-02;-1.127174e-01;4.655407e-01;3.725588e-01;4.631204e+01;1.488083e-01;7.687704e+00;9.806757e-01;1.831957e+01;1.235453e+00;1.577253e+01;8.470072e-01;-1.751528e+01;2.757917e+01;5.647041e-02;-1.365432e-02;3.308711e-01;4;8;4.000000e-02;9.999999e-03;1.400000e-01;0;-2.962453e+01
'training-29';0.500000;2.215515e+01;2.275470e-01;1.747128e+01;2.427118e+01;2.614743e+01;8.676147e+00;3.584274e+02;0;-6.740527e+01;0;2.473180e-01;5.456022e-01;1.200976e-01;1.921068e-01;4.016292e-01;2.815316e-01;5.006745e+00;5.580764e+00;4.294511e+00;1.472807e+00;2.230077e-01;6.630802e-01;4.305420e+01;2.193210e-01;-1.567223e+00;-4.912665e+00;-7.023872e+00;-2.251330e+00;6.393166e+00;1.595317e+00;7.499523e-01;2.495073e-01;2.753060e+00;3.928193e-01;-4.843323e+00;-5.417137e-01;1.147944e+00;4.732225e+00;2.103613e+01;1.847626e-01;3.182587e+02;7.540804e-02;1.558868e+03;4.750732e-02;-1.440663e+02;-5.692231e-01;1.116997e+03;1.306002e-02;1.083773e+03;2.330301e-02;-1.449238e+02;-5.578009e-01;2.097407e+03;5.756974e-03;6.387008e+02;1.087675e-01;-1.497943e+02;-4.915096e-01;-9.977280e+00;-4.238652e-01;2.281545e+01;2.606906e-02;4.944558e-02;3.527319e-01;-2.009414e-02;-6.461272e-01;2.251501e-01;4.801894e-01;5.123908e+01;8.923756e-02;-2.731724e+00;-7.576665e-01;-8.444067e+00;-3.091420e-01;5.257428e+00;1.089964e+00;-1.246420e+01;2.536745e+01;7.588308e-02;-7.511098e-03;2.220902e-01;8;4;8.000000e-02;0;7.000000e-02;3.000000e-02;-4.088611e+01
