name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-53';0.000000;2.872045e+01;8.877376e-03;2.852966e+01;2.865589e+01;2.889832e+01;3.686619e-01;2.048117e-01;0;0;0;3.140468e-02;5.007080e-02;3.002815e-02;3.141565e-02;3.282490e-02;2.796754e-03;9.167150e-02;2.858719e-02;8.462335e-02;2.717550e-02;2.730650e-03;2.756054e-01;1.993741e+01;5.452176e-02;-4.550423e+00;-4.845695e-01;-4.525337e+00;-5.702901e-01;4.871696e+00;6.384614e-01;0;0;0;0;-8.739555e+00;-2.959621e-02;-5.883012e+00;0;4.676337e+01;0;4.829739e+02;2.207798e-01;1.305998e+03;2.543354e-02;-1.929459e+02;-1.486353e-01;1.392832e+03;9.118392e-02;1.137630e+03;7.637860e-02;-1.939560e+02;-1.291897e-01;2.383424e+03;5.492384e-02;1.021591e+03;1.502540e-02;-1.946927e+02;-1.158078e-01;-3.558144e+00;-8.544778e-02;1.471855e+01;2.581059e-02;4.519812e-02;3.043540e-01;-4.065569e-04;-3.671223e+00;2.487878e-03;9.448875e-02;1.939007e+01;2.594583e-02;-6.440882e+00;-3.406709e-02;-8.055978e+00;-2.682774e-01;4.551054e+00;4.579206e-01;-5.476311e+00;1.538341e+01;4.566395e-02;9.664939e-04;2.909119e-03;16;4;2.000000e-02;0;2.100000e-01;0;-7.802531e+01
'training-53';0.100000;2.850647e+01;2.131752e-02;2.792002e+01;2.853812e+01;2.913786e+01;1.217831e+00;2.216954e+01;0;-2.402475e+01;0;5.259148e-01;1.395787e+00;3.002815e-02;3.368716e-02;1.163502e+00;1.133474e+00;8.701354e-02;0;0;0;6.739542e-01;1.379323e+00;3.186218e+01;4.756564e-01;3.942774e+00;2.883594e+00;-8.077780e+00;-8.697838e-01;-3.386750e+00;-3.660498e+00;2.705608e-02;3.089527e-01;2.510600e+00;6.607336e-01;4.758311e-01;1.325214e+01;-3.574838e+00;-5.435891e-01;4.404715e+01;1.333167e-01;6.063811e+02;2.965653e-01;1.388397e+03;9.818804e-02;-1.172266e+02;-8.124512e-01;1.509132e+03;1.790296e-01;1.073032e+03;8.922577e-02;-1.216933e+02;-7.103115e-01;2.698170e+03;1.386663e-01;8.952049e+02;1.618760e-01;-1.289945e+02;-6.094745e-01;-2.068313e+01;-5.192079e-01;3.362456e+01;3.393243e-01;1.028056e-01;3.320403e-01;-4.234071e-02;-6.032172e-01;1.293223e+00;7.182996e-01;4.273932e+01;3.256920e-01;1.122703e+01;1.025921e+00;-1.194244e+01;-6.609432e-01;-1.289583e+01;-7.856140e-01;-5.655378e+00;1.542186e+01;3.737229e-02;4.557892e-03;3.088049e-03;0;4;1.200000e-01;0;1.100000e-01;0;-2.147015e+01
'training-53';0.200000;2.679538e+01;8.271206e-02;2.414716e+01;2.765532e+01;2.879893e+01;4.651772e+00;2.419813e+01;1.434427e+00;4.076437e+01;0;1.265853e+00;6.795217e-01;2.381432e-01;1.431243e+00;2.066841e+00;1.828698e+00;1.575770e+01;0;-2.062663e+01;0;1.575853e+00;7.946282e-01;4.269778e+01;3.053148e-01;1.521125e+00;8.756530e+00;-1.396054e+01;-5.753648e-01;-7.121095e+00;-1.641459e+00;4.104420e-02;7.691433e-01;2.426040e+00;5.651766e-01;-1.768938e-01;-2.762038e+01;1.935546e+00;3.245964e+00;3.295720e+01;3.822795e-01;5.212673e+02;3.210892e-01;1.378273e+03;7.832626e-02;-3.167326e+01;-2.229269e+00;1.424206e+03;1.631988e-01;1.057739e+03;7.447547e-02;-4.191538e+01;-1.577237e+00;2.535855e+03;1.354256e-01;7.705156e+02;2.336578e-01;-5.301193e+01;-1.178359e+00;-1.654050e+01;-5.735340e-01;2.884673e+01;3.721362e-01;9.489546e-02;2.952900e-01;-3.747057e-02;-5.708714e-01;1.712702e+00;7.079809e-01;4.483333e+01;2.520536e-01;2.133364e+00;6.429849e+00;-1.492819e+01;-5.121217e-01;-8.478433e+00;-1.321812e+00;-4.551376e+00;1.385934e+01;2.411215e-02;2.775948e-03;2.135175e-03;4;4;2.200000e-01;0;0;0;-1.849949e+01
'training-53';0.300000;2.504846e+01;9.978333e-02;2.307792e+01;2.523460e+01;2.760632e+01;4.528399e+00;-7.874689e+01;0;4.562181e+01;0;1.259611e+00;6.685249e-01;2.877129e-01;1.431243e+00;2.066841e+00;1.779128e+00;1.446306e+01;2.959319e+00;1.865922e+01;0;1.463281e+00;8.854650e-01;4.362752e+01;2.105620e-01;-5.000999e+00;-2.234700e+00;-1.254382e+01;-6.578256e-01;5.699933e-01;2.679544e+01;4.265939e-02;7.383781e-01;2.173991e+00;5.572087e-01;7.253311e-01;5.031570e+00;4.586751e+00;1.156545e+00;2.707053e+01;3.900959e-01;4.872458e+02;3.237308e-01;1.351599e+03;6.052297e-02;-6.398612e+01;-1.443373e+00;1.426103e+03;1.654853e-01;1.028297e+03;5.164876e-02;-6.792558e+01;-1.286641e+00;2.513652e+03;1.435654e-01;6.611982e+02;1.096585e-01;-7.596075e+01;-1.082525e+00;-1.666023e+01;-4.858138e-01;2.738471e+01;2.910433e-01;8.807622e-02;3.161476e-01;-3.793830e-02;-5.028068e-01;2.062816e+00;5.602088e-01;4.859597e+01;1.160282e-01;-1.483437e+00;-7.767945e+00;-1.341554e+01;-6.182957e-01;-5.532727e+00;-2.557725e+00;-6.775437e+00;1.471155e+01;6.457558e-02;-9.854017e-03;1.983653e-01;4;4;1.600000e-01;0;7.000000e-02;0;-1.863443e+01
'training-53';0.400000;2.824258e+01;2.725820e-01;2.280999e+01;2.345401e+01;3.829456e+01;1.548457e+01;4.672474e+02;0;7.059380e+01;0;5.708851e-01;8.492596e-01;1.801033e-01;4.653909e-01;7.185111e-01;5.384078e-01;2.203321e+00;4.908541e+00;1.506930e+01;3.625210e+00;4.364328e-01;8.853075e-01;3.474356e+01;1.799231e-01;-1.804231e+01;-6.940652e-01;-9.613908e+00;-9.341637e-01;1.784277e+01;5.768943e-01;7.095777e-02;3.574214e-01;2.792713e+00;4.916615e-01;-3.361737e+00;-4.856652e-01;6.558550e+00;6.139458e-01;1.309932e+01;7.344357e-01;6.072797e+02;4.865705e-01;1.354378e+03;1.176640e-01;-1.160923e+02;-7.951710e-01;1.552028e+03;2.024568e-01;1.118298e+03;1.140571e-01;-1.135458e+02;-7.661526e-01;2.422323e+03;5.117909e-02;8.236152e+02;3.223245e-01;-1.155572e+02;-7.345456e-01;-6.368712e+00;-1.103548e+00;1.533176e+01;4.529620e-01;6.707228e-02;3.841937e-01;-1.293655e-02;-7.219250e-01;7.190638e-01;5.439419e-01;3.926203e+01;1.129424e-01;-1.492617e+01;-7.812114e-01;-7.559894e+00;-1.263060e+00;1.817429e+01;7.445702e-01;-2.695873e+00;9.539119e+00;7.621711e-02;-1.797336e-03;2.121207e-01;4;8;4.500000e-02;1.500000e-02;6.000000e-02;2.000000e-02;-3.102456e+01
'training-53';0.500000;3.831972e+01;6.879900e-04;3.829373e+01;3.831818e+01;3.834509e+01;5.136108e-02;1.437950e-02;0;0;0;2.644782e-01;7.770134e-01;8.436529e-02;1.615084e-01;4.917786e-01;4.074133e-01;4.929543e+00;2.790694e+00;7.676157e+00;3.767929e+00;1.723198e-01;1.091815e+00;2.845460e+01;1.365574e-01;-2.077048e+01;-5.657162e-01;-1.168045e+01;-6.910127e-01;1.795286e+01;6.238580e-01;6.608894e-02;0;4.792102e+00;0;-5.005585e+00;-1.966343e-01;2.680543e+00;5.954313e-01;1.318857e+00;3.857349e+00;9.528940e+02;2.369217e-01;1.292614e+03;1.931387e-01;-1.761401e+02;-3.410745e-01;1.887584e+03;1.603657e-01;1.260783e+03;8.858166e-02;-1.688189e+02;-3.745811e-01;2.498645e+03;6.960546e-02;1.159450e+03;8.046208e-02;-1.690301e+02;-3.714717e-01;2.526054e+00;6.537294e-01;6.935689e+00;1.969397e-01;7.523390e-02;4.024435e-01;-2.118023e-03;-1.438932e+00;3.314047e-01;7.212090e-02;3.387894e+01;6.827740e-02;-2.827682e+01;-2.651656e-01;-1.439703e+00;-5.647406e+00;3.372260e+01;1.560475e-01;-1.676840e+00;8.998218e+00;8.446669e-02;7.370225e-04;1.370557e-01;8;4;3.000000e-02;0;9.500000e-02;4.499999e-02;-4.206770e+01
