name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'training-21';0.000000;2.876598e+01;3.687132e-02;2.800237e+01;2.889503e+01;2.955541e+01;1.553040e+00;0;0;-8.627980e-01;0;4.453038e-02;1.070526e+00;3.142726e-02;3.428287e-02;3.883768e-02;7.410418e-03;9.833363e-03;0;0;0;1.004668e-02;2.939274e+00;2.194137e+01;1.138923e-01;1.929966e-01;1.361758e+01;-3.349988e+00;-1.285520e+00;6.719097e+00;6.323813e-01;0;0;8.165643e-01;0;-4.012391e+00;-6.394108e-02;-7.703939e+00;-3.036861e-01;3.874606e+00;8.114950e-01;5.958176e+02;3.179239e-01;1.346312e+03;2.475264e-02;-1.854305e+02;-2.429414e-01;1.547398e+03;1.260654e-01;1.019530e+03;5.690026e-02;-1.761194e+02;-3.474538e-01;2.534373e+03;7.583279e-02;8.591111e+02;5.946403e-02;-1.768729e+02;-3.339292e-01;-7.320457e+00;-2.229344e-01;1.612568e+01;1.839482e-01;7.894017e-02;2.455813e-01;-9.326858e-03;-2.114029e-01;5.331704e-02;1.339899e+00;1.853997e+01;6.656422e-02;-2.653810e+00;-1.720927e+00;-8.753865e+00;-3.820031e-01;3.878233e+00;7.219554e-01;-8.966664e+00;1.961421e+01;5.877268e-02;7.806617e-04;4.338009e-03;0;4;2.000000e-02;0;2.100000e-01;0;-7.333717e+01
'training-21';0.100000;2.747577e+01;5.476454e-02;2.600620e+01;2.740726e+01;2.894185e+01;2.935650e+00;5.176493e+01;0;3.058822e+01;6.988441e+01;4.204519e-01;1.160309e+00;3.274218e-02;4.368082e-02;9.489084e-01;9.161662e-01;4.863009e+00;0;1.040564e+01;0;3.335468e-01;1.282217e+00;2.668935e+01;3.239843e-01;-4.003264e+00;-1.545388e+00;-3.098653e+00;-3.099034e+00;1.270535e+01;6.766614e-01;8.026107e-02;4.875378e-01;2.746631e+00;6.540454e-01;3.468241e-01;1.151701e+01;-2.072908e+00;-3.003451e+00;1.074370e+01;5.223590e-01;6.024996e+02;4.524648e-01;1.292052e+03;4.239046e-02;-1.191962e+02;-7.214404e-01;1.553210e+03;1.492016e-01;9.525686e+02;1.050791e-01;-1.147597e+02;-7.504730e-01;2.473418e+03;9.045421e-02;8.643922e+02;3.897807e-01;-1.161452e+02;-7.266319e-01;-7.257059e+00;-4.053656e-01;1.424739e+01;2.442939e-01;8.440321e-02;3.687846e-01;-1.617007e-02;-4.149267e-01;5.903925e-01;7.242500e-01;2.816008e+01;3.958147e-01;-8.990203e+00;-6.126520e-01;-5.808574e+00;-2.419241e+00;1.580462e+01;5.298996e-01;-1.013072e+01;1.958629e+01;6.131735e-02;-3.245193e-03;1.252788e-01;4;8;4.500000e-02;4.999999e-03;1.100000e-01;0;-3.168286e+01
'training-21';0.200000;2.573556e+01;8.702717e-02;2.369317e+01;2.554805e+01;2.817236e+01;4.479183e+00;5.176493e+01;0;4.227025e+01;6.162397e+01;8.861891e-01;5.796629e-01;4.964535e-01;9.461182e-01;1.415805e+00;9.193517e-01;9.455756e+00;0;-1.513524e+01;0;5.900503e-01;5.969687e-01;3.409829e+01;3.076490e-01;-9.069027e+00;-5.504861e-01;9.574568e-01;1.197685e+01;1.842280e+01;4.724784e-01;3.410047e-02;1.063603e+00;1.832954e+00;7.681206e-01;1.400316e+00;2.494701e+00;3.121222e+00;2.282571e+00;1.332007e+01;4.015877e-01;5.586888e+02;3.694181e-01;1.362595e+03;7.442284e-02;-3.530308e+01;-1.685782e+00;1.554953e+03;1.090001e-01;9.387841e+02;1.148816e-01;-3.830310e+01;-1.430999e+00;2.465892e+03;7.128645e-02;8.985974e+02;5.245190e-01;-4.097789e+01;-1.301864e+00;-8.673754e+00;-3.264014e-01;1.539327e+01;2.140454e-01;7.643481e-02;3.565886e-01;-2.268728e-02;-3.854865e-01;6.173974e-01;5.351856e-01;3.464807e+01;3.161258e-01;-1.011341e+01;-4.710411e-01;1.578183e+00;8.130006e+00;1.921630e+01;3.864713e-01;-9.959052e+00;1.892323e+01;5.100227e-02;-9.319570e-03;4.238655e-01;4;8;9.500000e-02;4.499999e-02;0;0;-2.715144e+01
'training-21';0.300000;2.438574e+01;5.788688e-02;2.289615e+01;2.461799e+01;2.577934e+01;2.883183e+00;0;0;-2.640169e-01;0;9.062984e-01;4.879757e-01;4.889829e-01;8.459338e-01;1.415805e+00;9.268224e-01;4.171581e+00;4.042241e+00;1.275876e+01;0;5.122572e-01;7.142100e-01;2.600392e+01;7.825710e-01;-3.472779e+00;-3.148345e+00;-6.577128e+00;-3.257048e+00;2.178861e+01;2.818732e-01;1.486127e-02;3.903693e-01;1.421163e+00;4.771611e-01;2.810664e+00;9.558067e-01;7.311526e+00;3.333941e-01;1.559203e+01;2.121166e-01;4.684713e+02;1.666682e-01;1.381775e+03;7.966666e-02;-7.394459e+01;-1.252829e+00;1.497911e+03;6.235174e-02;9.127092e+02;1.241779e-01;-8.096638e+01;-1.077819e+00;2.404642e+03;4.770459e-02;9.462922e+02;5.538298e-01;-8.214037e+01;-1.051391e+00;-9.754065e+00;-2.074832e-01;1.599756e+01;1.726121e-01;6.352704e-02;3.031399e-01;-2.532562e-02;-2.972578e-01;7.393374e-01;3.504164e-01;4.024367e+01;1.608966e-01;-1.114018e+01;-3.210322e-01;9.179380e+00;1.731476e-01;2.342479e+01;1.430267e-01;-1.877407e+00;8.308189e+00;3.950222e-02;-1.738397e-02;1.134002e-01;4;4;1.500000e-01;0;8.000000e-02;0;-2.739275e+01
'training-21';0.400000;2.277778e+01;2.476689e-02;2.222833e+01;2.270105e+01;2.324564e+01;1.017305e+00;0;0;-2.659537e-01;0;4.455000e-01;5.905206e-01;2.181327e-01;4.154193e-01;5.490838e-01;3.309511e-01;-3.240673e+00;0;4.874713e+00;0;1.725889e-01;1.211198e+00;6.581416e+00;3.022520e+00;9.311563e+00;1.212541e+00;-2.054386e+01;-9.120573e-01;2.024970e+01;3.057424e-01;1.756480e-02;4.071830e-01;1.976572e+00;2.447180e-01;1.253790e-01;1.754654e+01;7.792415e+00;1.426469e-01;1.373633e+01;3.015109e-01;5.538500e+02;5.853990e-02;1.493523e+03;3.667731e-02;-1.541626e+02;-5.135714e-01;1.575463e+03;1.961317e-02;8.707550e+02;1.250671e-02;-1.556854e+02;-4.914430e-01;2.519545e+03;7.193143e-03;5.898959e+02;3.412078e-02;-1.563912e+02;-4.813825e-01;-9.011779e+00;-1.540494e-01;1.486610e+01;1.631681e-01;4.808198e-02;2.935380e-01;-2.620585e-02;-1.612409e-01;4.965682e-01;3.869779e-01;3.831807e+01;5.511658e-02;-8.408658e+00;-1.286202e-01;9.691637e+00;7.589253e-02;2.508731e+01;1.496134e-01;-4.321687e-01;5.199439e+00;5.604228e-02;-1.146460e-02;7.140698e-02;0;4;5.000000e-02;0;1.800000e-01;0;-3.683109e+01
'training-21';0.500000;0;0;0;0;0;0;0;0;0;0;1.898508e-01;7.710655e-01;4.792769e-02;1.729379e-01;3.350027e-01;2.870750e-01;4.412131e-02;0;2.194178e+00;0;3.188490e-02;9.327178e-01;3.810184e+00;3.794178e+00;1.013412e+01;9.638878e-01;-1.959307e+01;-7.880675e-01;1.248468e+01;5.124670e-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.671715e+00;9.874242e+00;5.593793e-02;-5.589394e-03;3.188490e-02;0;0;0;0;2.400000e-01;0;-4.775964e+01
